Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Frantic-Travelling-Backpacks-Preschool-FullBody_SkyElehpant/dp/B0BD5JQX7T,"Frantic Kids Soft Cartoon Animal Travelling School Bag Soft Plush Backpacks Boys Girls Baby for 2 to 5 Years Baby/Boys/Girls Nursery, Preschool, Picnic(FullBody_SkyElehpant)",₹309,3.5,9,No description,N/A,N/A
https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599,4.5,8,No description,N/A,N/A
https://www.amazon.in/American-Tourister-Casual-Travel-Duffle/dp/B00FRCNRPQ,American Tourister X - Bag Nylon 55 Cms Travel Duffle Bag (Black),"₹1,899",4.3,676,No description,N/A,N/A
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,3.8,885,No description,N/A,N/A
https://www.amazon.in/WildHorn-Leather-Laptop-Messenger-Dimension/dp/B079HQKSZN,WildHorn Leather Laptop Bag for Men I Fits Upto 15.6 Inch Laptop/MacBook I Padded Laptop Compartment I Carry Handles with Adjustable Strap I DIMENSION : L-16 inch W-4 inch H-12 inch,"₹2,629",4.2,973,No description,N/A,N/A
https://www.amazon.in/Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH,"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",₹395,4.1,488,No description,N/A,N/A
https://www.amazon.in/Kuber-Industries-Toiletry-Compartment-KUBMART11928/dp/B08Q91ZY29,Kuber Industries Toiletry Travel Bags Shaving Kit/Pouch/Bag for Men and Women with 2 Main Compartment (Wine)-KUBMART11928,₹198,4.0,498,No description,N/A,N/A
https://www.amazon.in/Crossbody-Adjustable-Durable-Water-Resistant-Travel-Friendly/dp/B0C3RFCH37,"Amazon Basics Sling Bag/Crossbody Bag with Adjustable Strap for Daily and Travel Use, Durable, Water-Resistant, Travel-Friendly (Unisex, Black)",₹349,4.5,"1,012",No description,N/A,N/A
https://www.amazon.in/Harissons-Office-Laptop-Backpacks-Women/dp/B09D3YYYNG,HARISSONS Bags Volt 15.6 inch Office Laptop Backpacks for Men and Women 24 Ltrs with 2 Front Zippered Pockets & Spacious Large Compartments | External USB Gate for easy Charging,"₹1,504",4.1,273,No description,N/A,N/A
https://www.amazon.in/Lavie-Sport-Floral-Casual-Backpack/dp/B0C6Y9WHYB,Lavie Sport Floral Print 18L Casual Backpack | School Bag for Girls,₹795.16,5.0,8,No description,N/A,N/A
https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ763F7Y,Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,"₹1,359",4.0,70,No description,N/A,N/A
https://www.amazon.in/Shoulder-Lightweight-Duffle-Weekend-Blue-Orange/dp/B09139DYF1,"Aurion Vista Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga",₹349,4.0,"1,098",No description,N/A,N/A
https://www.amazon.in/American-Tourister-FJ9-01-002/dp/B07N19CXKM,American Tourister Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue),"₹1,999",4.2,"1,281",No description,N/A,N/A
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),₹649,3.8,"1,908",No description,N/A,N/A
https://www.amazon.in/WildHorn-Leather-39-37-Messenger-WHBB101/dp/B01H8U62VU,WildHorn Leather Laptop Messenger Bag for Mens,"₹2,389",3.9,278,No description,N/A,N/A
https://www.amazon.in/House-Quirk-Flamingo-Portable-Different/dp/B09WJ1N2F2,"House of Quirk Flamingo Makeup Bag Set for Women Portable 3 Different Sizes Toiletry Bag for Travel Daily Use for Women Girl (Flamingo Dark Blue, Set of 3)",₹389,4.1,84,No description,N/A,N/A
